congress_id,link,long_title,short_title,authors,date_filed,subjects
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3048-16th-congress-republic,AN ACT ESTABLISHING A NATIONAL POLICY OF BASIC CONSUMER FAIR TREATMENT FOR AIRLINE PASSENGERS,AIRLINE PASSENGER FAIRNESS ACT,Miriam Defensor Santiago,"November 1, 2016",AIRLINE PASSENGER FAIRNESS ACT
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3056-16th-congress-republic,AN ACT ESTABLISHING A BLUEPRINT FOR HEALTH IN ORDER TO CREATE A COMPREHENSIVE SYSTEM OF CARE INCORPORATING MEDICAL HOMES TO IMPROVE THE DELIVERY AND AFFORDABILITY OF HEALTH CARE,BLUEPRINT FOR HEALTH ACT,Miriam Defensor Santiago,"November 1, 2016",HEALTH CARE DELIVERY SYSTEM
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3121-16th-congress-republic,AN ACT REQUIRING THE DISCLOSURE OF THE SOURCE OF FUNDING OF PUBLICLY FUNDED ADVERTISEMENTS,PUBLIC AD DISCLOSURE ACT,Miriam Defensor Santiago,"January 25, 2016",ADVERTISING
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3189-16th-congress-republic,"AN ACT AMENDING SECTIONS 6 AND 11 OF REPUBLIC ACT NO 1169, AS AMENDED, ALSO KNOWN AS AN ACT PROVIDING FOR CHARITY SWEEPSTAKES, HORSE RACES, AND LOTTERIES","AMENDING SECS. 6 AND 11 OF R.A. NO. 1169,  THE CHARITY SWEEPTAKES , HORSE RACES, AND LOTTERIES",Miriam Defensor Santiago,"January 2, 2016",LOTTERY; HORSE RACING; PHILIPPINE CHARITY SWEEPSTAKES OFFICE (PCSO)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3200-16th-congress-republic,AN ACT ESTABLISHING A NATIONAL CLEARINGHOUSE FOR CHARACTER EDUCATION,COMMITMENT TO KIDS AND CHARACTER ACT,Miriam Defensor Santiago,"January 2, 2016",CHARACTER EDUCATION; CHILDREN/CHILD CARE
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3101-16th-congress-republic,AN ACT TO ESTABLISH THE NATIONAL COMMISSION ON THE IMPACT OF FILIPINO CULTURE ON THE YOUTH,NATIONAL COMMISSION ON THE IMPACT OF FILIPINO CULTURE ON THE YOUTH ACT,Miriam Defensor Santiago,"January 25, 2016",YOUTH
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3158-16th-congress-republic,AN ACT DIRECTING THE SECRETARY OF HEALTH TO ESTABLISH A RETINOBLASTOMA PUBLIC AWARENESS AND PREVENTION PROGRAM,RETINOBLASTOMA AWARENESS ACT,Miriam Defensor Santiago,"January 28, 2016",RETINOBLASTOMA AWARENESS ACT; EYE CANCER (RETINOBLASTOMA)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3168-16th-congress-republic,AN ACT AUTHORIZING HIGHER EDUCATION CURRICULUM DEVELOPMENT AND GRADUATE TRAINING IN ADVANCED ENERGY AND GREEN BUILDING TECHNOLOGIES,GREEN ENERGY EDUCATION ACT,Miriam Defensor Santiago,"January 28, 2016",GREEN ENERGY EDUCATION; CURRICULUM
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3067-16th-congress-republic,"AN ACT EXEMPTING FROM TAXATION ALL DONATIONS, GRANTS OR GIFTS TO NON-STOCK AND NON-PROFIT EDUCATIONAL INSTITUTIONS",TAX EXEMPTION FROM DONATIONS AND GRANTS TO NON-STOCK AND NON-PROFIT EDUCATIONAL INSTITUTIONS,Miriam Defensor Santiago,"November 1, 2016",TAX EXEMPTION; DONATIONS; educational institutions
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3132-16th-congress-republic,AN ACT PROTECTING THE RIGHTS OF INTERNALLY DISPLACED PERSONS AND PENALIZING THE ACTS OF ARBITRARY INTERNAL DISPLACEMENT,RIGHTS OF INTERNALLY DISPLACED PERSONS ACT (RIDPA),"Teofisto ""TG"" D. Guingona III","January 26, 2016",DISPLACED PERSONS; INTERNAL DISPLACEMENT
