congress_id,link,long_title,short_title,authors,date_filed,subjects
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2207-17th-congress-republic,"AN ACT REVITALIZING THE BASES CONVERSION DEVELOPMENT, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 7227, OTHERWISE KNOWN AS THE BASES CONVERSION AND DEVELOPMENT ACT OF 1992, AS AMENDED",BASES CONVERSION DEVELOPMENT,"AQUINO IV, PAOLO BENIGNO ""BAM""","April 2, 2019",BASES CONVERSION AND DEVELOPMENT ACT OF 1991 (R.A. NO. 7227); SUBIC BAY METROPOLITAN AUTHORITY (SBMA)
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2173-17th-congress-republic,"AN ACT ALLOWING THE USE OF MOTORCYCLES AS PUBLIC UTILITY VEHICLES, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 4136, OTHERWISE KNOWN AS THE 'LAND TRANSPORTATION AND TRAFFIC CODE",USE OF MOTORCYCLES AS PUBLIC UTILITY VEHICLES,Ralph G. Recto,"January 23, 2019",MOTORCYCLE; LAND TRANSPORTATION AND TRAFFIC CODE (R.A. NO. 4136); PUBLIC UTILITY VEHICLES; HABAL-HABAL
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2186-17th-congress-republic,"AN ACT PROVIDING POLICIES AND PRESCRIBING PROCEDURES ON SURVEILLANCE AND RESPONSE TO NOTIFIABLE DISEASES, EPIDEMICS, AND HEALTH EVENTS OF PUBLIC HEALTH CONCERN, AND APPROPRIATING FUNDS THEREFOR, REPEALING FOR THE PURPOSE ACT NO. 3573, OTHERWISE KNOWN AS THE ""LAW ON REPORTING OF COMMUNICABLE DISEASES""",MANDATORY REPORTING OF NOTIFIABLE DISEASES AND HEALTH EVENTS OF PUBLIC HEALTH CONCERN ACT,"EJERCITO, JOSEPH VICTOR G.","January 29, 2019",COMMUNICABLE DISEASES; DEPARTMENT OF HEALTH (DOH)
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2144-17th-congress-republic,AN ACT BANNING THE IMPORTATION OF SOLID WASTE,SOLID WASTE IMPORTATION BAN,"PIMENTEL, AQUILINO ""KOKO"" III","January 14, 2019",SOLID WASTE; DUMPING
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2216-17th-congress-republic,"AN ACT CREATING THE DEPARTMENT OF WATER, IRRIGATION, SEWAGE AND SANITATION RESOURCE MANAGEMENT, DEFINING ITS POWERS AND FUNCTIONS, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES","DEPARTMENT OF WATER, IRRIGATION, SEWAGE, AND SANITATION RESOURCE MANAGEMENT ACT","Paolo Benigno ""Bam"" Aquino IV","March 18, 2019",WATER RESOURCES MANAGEMENT; IRRIGATION; SANITATION
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2228-17th-congress-republic,"AN ACT DECLARING THE BALANGA WETLAND AND NATURE PARK LOCATED IN BARANGAY TORTUGAS, CITY OF BALANGA, PROVINCE OF BATAAN AS A RESPONSIBLE, COMMUNITY-BASED ECOTOURISM ZONE AND APPROPRIATING FUNDS THEREFOR",BALANGA WETLAND AND NATURE PARK RESPONSIBLE ECOTOURISM ACT,"VILLAR, CYNTHIA A.","May 21, 2019",BALANGA WETLAND AND NATURE PARK; TOURISM (ECOTOURISM ZONE/ECOTOURISM SITE)
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2195-17th-congress-republic,"AN ACT AUTHORIZING THE COURT TO REQUIRE COMMUNITY SERVICE IN LIEU OF IMPRISONMENT FOR THE PENALTIES OF ARRESTO MENOR AND ARRESTO MAYOR, AMENDING FOR THE PURPOSE CHAPTER 5, TITLE 3, BOOK I OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE",COMMUNITY SERVICE ACT,Antonio F. Trillanes IV,"January 30, 2019",COMMUNITY WORK/COMMUNITY SERVICE; REVISED PENAL CODE (R.A. NO. 3815)
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2154-17th-congress-republic,"AN ACT ESTABLISHING A SPECIAL ECONOMIC ZONE AND FREEPORT IN THE AREA ENCOMPASSING THE BARANGAYS OF DUMABEL, SAN LEONARDO, PINARIPAD NORTE, PALACIAN, LIGAYA, VILLA VENTURA, DIODOL AND PINARIPAD SUR, ALL LOCATED IN THE MUNICIPALITY OF AGLIPAY, PROVINCE OF QUIRINO, CREATING FOR THIS PURPOSE THE AUTHORITY OF THE FREEPORT AREA OF QUIRINO (AFAQ), AND APPROPRIATING FUNDS THEREFOR",FREEPORT AREA OF QUIRINO (FAQ) ACT,"ZUBIRI, JUAN MIGUEL ""MIGZ"" F.","January 16, 2019",FREEPORT AREA OF QUIRINO (FAQ)
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2227-17th-congress-republic,"AN ACT AMENDING REPUBLIC ACT NO. 7042, OTHERWISE KNOWN AS THE FOREIGN INVESTMENTS ACT OF 1991, AS AMENDED BY REPUBLIC ACT NO. 8179, AND FOR OTHER PURPOSES","AMENDING SEC. 2, RA 7042 (FOREIGN INVESTMENTS ACT)","GATCHALIAN, WIN","May 21, 2019",Foreign investments
53,https://ldr.senate.gov.ph/bills/senate-bill-no-2162-17th-congress-republic,"AN ACT PROTECTING THE REMITTANCES OR MONEY TRANSFERS OF OVERSEAS FILIPINO WORKERS (OFWS) BY REQUIRING THE DISCLOSURE OF FINANCE CHARGES AND OTHER FEES IN CONNECTION WITH MONEY TRANSFER, COMPELLING STRICT ADHERENCE TO THE TERMS AND CONDITIONS OF THEIR TRANSFER, PENALIZING VIOLATIONS THEREOF, AND FOR OTHER PURPOSES",REMITTANCE ACT,"PIMENTEL, AQUILINO ""KOKO"" III","January 21, 2019",OVERSEAS FILIPINO WORKERS (OFW); REMITTANCE
