congress_id,link,long_title,short_title,authors,date_filed,subjects
47,https://ldr.senate.gov.ph/bills/house-bill-no-984-14th-congress-republic,"AN ACT ESTABLISHING A SECONDARY SCHOOL IN BARANGAY BUTAG, MUNICIPALITY OF BULAN, PROVINCE OF SORSOGON TO BE KNOWN AS BUTAG NATIONAL HIGH SCHOOL, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-983-14th-congress-republic,"AN ACT ESTABLISHING A SECONDARY SCHOOL IN BARANGAY DANCALAN, MUNICIPALITY OF BULUSAN, PROVINCE OF SORSOGON TO BE KNOWN AS BULUSAN HIGH SCHOOL, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-982-14th-congress-republic,"AN ACT ESTABLISHING A SECONDARY SCHOOL IN BARANGAY BEGUIN, MUNICIPALITY OF BULAN, PROVINCE OF SORSOGON TO BE KNOWN AS BEGUIN AGRO-INDUSTRIAL HIGH SCHOOL, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-981-14th-congress-republic,"AN ACT CONVERTING THE BENTUCO HIGH SCHOOL IN THE MUNICIPALITY OF GUBAT, PROVINCE OF SORSOGON INTO A NATIONAL HIGH SCHOOL TO BE KNOWN AS THE BENTUCO NATIONAL HIGH SCHOOL, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-980-14th-congress-republic,"AN ACT ESTABLISHING CADANDANAN HIGH SCHOOL IN THE MUNICIPALITY OF BULAN, PROVINCE OF SORSOGON TO BE KNOWN AS CADANDANAN HIGH SCHOOL, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-98-14th-congress-republic,AN ACT DEFINING AND PENALIZING ENFORCED OR INVOLUNTARY DISAPPEARANCE AND FOR OTHER PURPOSES,N/A,N/A,"July 1, 2010",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-979-14th-congress-republic,"AN ACT CREATING A DEPARTMENT OF MARITIME AFFAIRS, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-978-14th-congress-republic,AN ACT ESTABLISHING THE PHILIPPINE AIR FORCE ACADEMY (PAFA) AND APPROPRIATING FUNDS THEREFOR,N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-977-14th-congress-republic,AN ACT LEGALIZING JUETENG,N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-976-14th-congress-republic,AN ACT GRANTING NIGHT SHIFT DIFFERENTIAL PAY TO GOVERNMENT EMPLOYEES INCLUDING THOSE IN GOVERNMENT-OWNED OR CONTROLLED CORPORATIONS AND APPROPRIATING FUNDS THEREFOR,N/A,N/A,"July 10, 2007",N/A
