member_id,member_name,representation,bill_code,bill_title,bill_status
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00203,"AN ACT UPGRADING THE SALARY LEVELS OF PUBLIC SCHOOL TEACHERS TO SALARY GRADE 15 AND TEACHING PERSONNEL IN HIGHER EDUCATION TO SALARY GRADE 16, AND INCREASING THE SALARIES OF NON-TEACHING PERSONNEL TO P16,000",Pending with the Committee on APPROPRIATIONS since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00204,AN ACT PROVIDING FOR SECURITY OF TENURE AND GRANTING SUBSTITUTE CIVIL SERVICE ELIGIBILITY FOR ALL NON-REGULAR AND REGULAR EMPLOYEES OF THE GOVERNMENT WHO HAVE RENDERED AT LEAST SIX (6) MONTHS OF CONTINUOUS SERVICE,Pending with the Committee on CIVIL SERVICE AND PROFESSIONAL REGULATION since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00205,AN ACT PROVIDING FOR A MEDICAL EXAMINATION AND TREATMENT ALLOWANCE FOR PUBLIC SCHOOL TEACHERS AND APPROPRIATING FUNDS THEREFOR,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00206,"AN ACT LOWERING THE OPTIONAL RETIREMENT AGE OF GOVERNMENT WORKERS FROM SIXTY (60) YEARS TO FIFTY-SIX (56) YEARS, AMENDING FOR THE PURPOSE SECTION 13-A OF REPUBLIC ACT 8291, OTHERWISE KNOWN AS ""THE GOVERNMENT SERVICE INSURANCE SYSTEM ACT OF 1997""",Pending With Rules (Included in OB on 2022-12-07)
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00207,AN ACT MANDATING THE INCLUSION OF PHILIPPINE HISTORY AS A SUBJECT IN THE HIGH SCHOOL CURRICULUM,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00208,"AN ACT PROVIDING FOR A FREE, COMPREHENSIVE, AND PROGRESSIVE, NATIONAL PUBLIC HEALTH CARE SYSTEM",Pending with the Committee on HEALTH since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00209,"AN ACT STRENGTHENING THE RIGHT OF THE PEOPLE TO FREE EXPRESSION, TO PEACEABLY ASSEMBLE AND TO PETITION THE GOVERNMENT FOR REDRESS OF GRIEVANCES, REPEALING FOR THE PURPOSE BATAS PAMBANSA BLG. 880 OR THE ""PUBLIC ASSEMBLY ACT OF 1985""",Pending with the Committee on  since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00210,AN ACT PROVIDING FOR TRANSPARENT ALTERNATIVE MANUAL-AUTOMATION ELECTION SYSTEM FOR PHILIPPINE ELECTIONS AND FOR OTHER PURPOSES,Pending with the Committee on SUFFRAGE AND ELECTORAL REFORMS since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00211,"AN ACT TO ENSURE THAT THE PARTY-LIST SYSTEM IS RESERVED FOR THE MARGINALIZED AND UNDERREPRESENTED AMENDING FOR THAT PURPOSE REPUBLIC ACT 7941, OTHERWISE KNOWN AS THE â€œPARTY-LIST SYSTEM ACTâ€",Pending with the Committee on SUFFRAGE AND ELECTORAL REFORMS since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00402,AN ACT DEFINING THE RIGHTS OF WOMEN DEPRIVED OF LIBERTY IN JAILS AND CORRECTIONAL FACILITIES AND PROVIDING FUNDS FOR THEIR ENFORCEMENT,Pending with the Committee on JUSTICE since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00404,"AN ACT REPEALING REPUBLIC ACT NO. 11203, OTHERWISE
KNOWN AS THE â€œRICE TARIFFICATION LAWâ€",Pending with the Committee on AGRICULTURE AND FOOD since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00405,THE RICE INDUSTRY DEVELOPMENT ACT,Pending with the Committee on AGRICULTURE AND FOOD since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00406,"AN ACT PROVIDING FOR A FIFTEEN THOUSAND PESOS (P15,000) PRODUCTION SUBSIDY FOR FARMERS AND FISHERFOLKS AFFECTED BY INCREASING COST OF FARM INPUTS, RISING FUEL PRICES, ECONOMIC DOWNTURN AND CALAMITIES AMID THE COVID 19 PANDEMIC",Pending with the Committee on AGRICULTURE AND FOOD since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00407,"AN ACT PROTECTING THE RIGHTS OF ALL WORKERS AND WORKERS' ORGANIZATIONS AND UNIONS FROM INTERFERENCE BY THEIR EMPLOYERS OR PUBLIC AUTHORITIES OR THEIR AGENTS, PROVIDING PENALTIES FOR VIOLATIONS THEREOF",Pending with the Committee on LABOR AND EMPLOYMENT since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00408,"AN ACT AMENDING REPUBLIC ACT NO. 11223, OTHERWISE KNOWN AS THE UNIVERSAL HEALTH CARE ACT, REPEALING PROVISIONS ON COMPULSORY COVERAGE OF MIGRANT WORKERS, MANDATORY PAYMENT FOR MISSED CONTRIBUTION, AND AUTOMATIC INCREASE OF PREMIUM CONTRIBUTIONS",Pending with the Committee on HEALTH since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00409,"AN ACT PROVIDING FOR A TEN THOUSAND PESOS (P10,000) CASH SUBSIDY FOR FAMILIES AFFECTED BY THE SEVERE ECONOMIC DOWNTURN, CALAMITIES AND COMMODITY PRICE HIKES AMID THE COVID-19 PANDEMIC",Pending with the Committee on SOCIAL SERVICES since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00251,AN ACT PROVIDING FOR THE SAFE REOPENING OF SCHOOLS AND APPROPRIATING FUNDS THEREFOR,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00252,"AN ACT PROVIDING FINANCIAL ASSISTANCE TO SUBSIDIZE EDUCATION COSTS AND PROVIDING OTHER FORMS OF RELIEF DURING TIMES OF NATIONAL EMERGENCIES AND CRISES, AND APPROPRIATING FUNDS THEREFOR",Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00253,"AN ACT REPEALING REPUBLIC ACT 11479, OTHERWISE KNOWN AS THE ANTI-TERRORISM ACT OF 2020",Pending with the Committee on PUBLIC ORDER AND SAFETY since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00254,"AN ACT UPHOLDING THE ACADEMIC FREEDOM OF ALL ACADEMIC INSTITUTIONS, PROVIDING PENALTIES FOR VIOLATIONS THEREOF, AND FOR OTHER PURPOSES",Pending with the Committee on HIGHER AND TECHNICAL EDUCATION since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00255,"AN ACT PROMOTING CRITICAL MEDIA AND INFORMATION LITERACY IN THE PHILIPPINES AND PRESCRIBING ITS ENHANCED INCLUSION IN THE EDUCATIONAL SYSTEM AND CURRICULUM IN THE PHILIPPINES, FOR SUCH OTHER PURPOSES, AND APPROPRIATING FUNDS THEREFOR",Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00256,"AN ACT DEFINING THE RIGHTS AND FUNDAMENTAL FREEDOMS OF HUMAN RIGHTS DEFENDERS, DECLARING STATE RESPONSIBILITIES AND INSTITUTING EFFECTIVE MECHANISMS FOR THE PROTECTION AND PROMOTION OF THESE RIGHTS AND FREEDOMS",Pending with the Committee on HUMAN RIGHTS since 2022-07-26
61,France L. Castro,"Partylist - ACT TEACHERS House of Representatives, Quezon City",HB00257,AN ACT DECLARING THE STUDENTS' RIGHTS,Pending with the Committee on HIGHER AND TECHNICAL EDUCATION since 2022-07-26
