congress_id,link,long_title,short_title,authors,date_filed,subjects
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2486-18th-congress-republic,AN ACT PROVIDING AN ADDITIONAL CASH ASSISTANCE PROGRAM FOR FILIPINOS TO AID IN MITIGATING THE EFFECTS OF THE CURRENT CORONAVIRUS PANDEMIC,BANGON PAMILYANG PILIPINO (BPP) ASSISTANCE PROGRAM ACT OF 2022,"VILLANUEVA, JOEL","January 24, 2022",CASH ASSISTANCE; PANDEMIC; COVID-19
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2522-18th-congress-republic,AN ACT DECLARING THE SECOND THURSDAY OF JANUARY OF EVERY YEAR A SPECIAL WORKING HOLIDAY TO BE KNOWN AS NATIONAL BAPTIST DAY,NATIONAL BAPTIST DAY ACT,"VILLAR, CYNTHIA A.","May 23, 2022",HOLIDAYS (SPECIAL WORKING)
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2501-18th-congress-republic,"AN ACT PENALIZING WILFUL AND INDISCRIMINATE DISCHARGE OF FIREARMS, AMENDING FOR THE PURPOSE ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE",WILFUL AND INDISCRIMINATE DISCHARGE OF FIREARMS,"GATCHALIAN, WIN","January 31, 2022",FIREARMS; REVISED PENAL CODE (R.A. NO. 3815)
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2469-18th-congress-republic,AN ACT INSTITUTIONALIZING A NATIONAL PSIORIASIS CARE PROGRAM AND APPROPRIATING FUNDS THEREFOR,NATIONAL PSORIASIS CARE PROGRAM ACT,"HONTIVEROS, RISA","March 1, 2022",PSORIASIS
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2483-18th-congress-republic,"AN ACT STRENGTHENING THE ARCHITECTURE PROFESSION, AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 9266, OTHERWISE KNOWN AS THE 'ARCHITECTURE ACT OF 2004'",AMENDING R.A. NO. 9266 ('ARCHITECTURE ACT OF 2004),"ANGARA, SONNY","January 24, 2022",ARCHITECTURE
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2513-18th-congress-republic,"AN ACT AMENDING SECTION 478(B)(4) OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE 'LOCAL GOVERNMENT CODE OF 1991'",AMENDING LOCAL GOVERNMENT CODE  (MICRO-ENTERPRISES),"TOLENTINO, FRANCIS ""TOL"" N.","March 31, 2022","LOCAL GOVERNMENT CODE (R.A.NO. 7160); MICRO, SMALL AND MEDIUM ENTERPRISES (MSMES)"
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2487-18th-congress-republic,"AN ACT EXPANDING SURVIVORSHIP BENEFITS TO THE SURVIVING LEGITIMATE SPOUSE AND DEPENDENT CHILDREN OF A DECEASED RETIRED MEMBER OF THE NATIONAL PROSECUTION SERVICE, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 11643, APPROPRIATING FUNDS THEREFOR",EXPANDING SURVIVORSHIP BENEFITS OF A DECEASED RETIRED MEMBER OF THE NATIONAL PROSECUTION SERVICE,"GORDON, RICHARD J.","January 24, 2022",SURVIVORSHIP BENEFITS; NATIONAL PROSECUTION SERVICE
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2523-18th-congress-republic,"AN ACT AMENDING REPUBLIC ACT NO. 10121 OTHERWISE KNOWN AS THE 'PHILIPPINE DISASTER RISK REDUCTION AND MANAGEMENT ACT OF 2010,' AND FOR OTHER PURPOSES",AMENDING R.A. NO. 10121 (PHILIPPINE DISASTER RISK REDUCTION AND MANAGEMENT ACT OF 2010),"MARCOS, IMEE R.","May 23, 2022",PHILIPPINE DISASTER RISK REDUCTION AND MANAGEMENT ACT OF 2010 (R.A.NO. 10121)
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2472-18th-congress-republic,AN ACT TO PROMOTE INVESTMENTS IN AGRICULTURE BY EASING FARMLAND LANDHOLDING RESTRICTIONS AND RATIONALIZING LAND TRANSACTION PROCESSES,AGRICULTURAL LANDS EASING ACT OF 2022,"LAPID, MANUEL ""LITO"" M.","May 1, 2022",AGRICULTURAL LAND
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2502-18th-congress-republic,"AN ACT ESTABLISHING THE YOUNG FARMERS AND FISHERFOLK CHALLENGE PROGRAM, CREATING FOR THE PURPOSE THE YOUNG FARMERS AND FISHERFOLK CHALLENGE COUNCIL, AND APPROPRIATING FUNDS THEREFOR",YOUNG FARMERS AND FISHERFOLK CHALLENGE PROGRAM,"MARCOS, IMEE R.","January 31, 2022",FISHERFOLK; YOUNG FARMERS PROGRAM
220,https://ldr.senate.gov.ph/bills/senate-bill-no-2479-18th-congress-republic,AN ACT INSTITUTIONALIZING A RESULTS-BASED NATIONAL EVALUATION POLICY,RESULTS-BASED NATIONAL EVALUATION POLICY (RBNEP) ACT,"HONTIVEROS, RISA","January 24, 2022",RESULTS-BASED NATIONAL EVALUATION POLICY
